ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
3	18	Attila	Vencel			31	CZ	hudebník	Ostrava	4	99	151	A	26	0	N	0	0	M	2004	151
3	19	Jiří	Beneš			32	CZ	hoteliér	Ostrava	4	99	151	A	26	0	N	0	0	M	2004	151
3	20	Jan	Frkala			25	CZ	redaktor	Havířov	555088	99	151	A	42	0	N	0	0	M	2004	151
3	21	Pavel	Kučera			33	CZ	muzikant	Ostrava	4	99	151	A	33	0	N	0	0	M	2004	151
3	22	Ivo	Žídek			48	CZ	podnikatel	Ostrava	4	99	151	A	30	0	N	0	0	M	2004	151
4	1	Libor	Rouček	Dr.		49	CZ	politolog	Družec	532274	7	7	A	39885	19.46	A	2	0	M	2004	7
4	2	Richard	Falbr	JUDr.		63	CZ	senátor PČR	Praha	1	7	7	A	47270	23.06	A	1	0	M	2004	7
4	3	Milan	Ekert	Ing.		39	CZ	poslanec PS PČR	Klatovy	555771	7	7	A	4498	0	N	0	1	M	2004	7
4	4	Petr	Lachnit	Ing.	CSc.	54	CZ	poslanec PS PČR	Ostrava	4	7	7	A	4028	0	N	0	2	M	2004	7
4	5	Bohumil	Fišer	Prof. MUDr.	CSc.	60	CZ	lékař	Brno	3	7	7	A	7742	0	N	0	3	M	2004	7
4	6	Olga	Sehnalová	MUDr.		35	CZ	lékařka	Kroměříž	588296	7	7	A	7185	0	N	0	4	F	2004	7
4	7	Anna	Čurdová	Mgr.		42	CZ	poslankyně PS PČR	Odolena Voda	538574	7	7	A	1841	0	N	0	5	F	2004	7
4	8	František	Mezihorák	Prof. PhDr.	CSc.	66	CZ	univerzitní profesor, děkan	Olomouc	500496	7	7	A	5105	0	N	0	6	M	2004	7
4	9	Jan	Hamáček			25	CZ	překladatel	Mladá Boleslav	535419	7	7	A	1829	0	N	0	7	M	2004	7
4	10	Eva	Nováková	Mgr.		48	CZ	poslankyně PS PČR	Praha	1	7	7	A	946	0	N	0	8	F	2004	7
4	11	Josef	Och			59	CZ	konzultant	Praha	1	7	7	A	117	0	N	0	9	M	2004	7
4	12	Pavel	Poc	RNDr.		40	CZ	obchodní ředitel	Velká Hleďsebe	539279	7	7	A	400	0	N	0	10	M	2004	7
4	13	Zuzana	Brzobohatá	Ing.		41	CZ	ředitelka kanceláře MF ČR	Tišnov	584002	7	7	A	1036	0	N	0	11	F	2004	7
4	14	Zdeněk	Doležel	PhDr.	PhD.	50	CZ	ředitel odboru personál. MV ČR	Velké Meziříčí	597007	7	7	A	591	0	N	0	12	M	2004	7
4	15	Vladimír	Müller	PhDr.	CSc.	40	CZ	zahraniční tajemník	Tábor	552046	7	7	A	879	0	N	0	13	M	2004	7
4	16	Miroslav	Máče		CSc.,PhD.	47	CZ	vysokoškolský učitel	Český Krumlov	545392	7	7	A	676	0	N	0	14	M	2004	7
4	17	Michal	Kraus	Ing. Mgr.		46	CZ	poslanec PS PČR	Semily	576964	7	7	A	1648	0	N	0	15	M	2004	7
4	18	Libor	Hradil	Ing.		35	CZ	tajemník KVV ČSSD	Litomyšl	578347	7	7	A	446	0	N	0	16	M	2004	7
4	19	Jiří	Jurán	Ing.	MBA.	38	CZ	ekonom	Bruntál	597180	7	7	A	760	0	N	0	17	M	2004	7
4	20	Petr	Šulák	Ing.		60	CZ	poslanec PS PČR	Vsetín	541630	7	7	A	637	0	N	0	18	M	2004	7
4	21	Tomáš	Novotný	JUDr. Ing.		35	CZ	státní úředník	Praha	1	7	7	A	231	0	N	0	19	M	2004	7
4	22	Jaroslav	Bártl	Ing.		49	CZ	státní zaměstnanec	Jihlava	586846	7	7	A	208	0	N	0	20	M	2004	7
4	23	Jaroslav	Straka	Mgr.	MBA.	37	CZ	konzultant	Plzeň	2	7	7	A	323	0	N	0	21	M	2004	7
4	24	Ladislav	Skopal	Ing.		45	CZ	poslanec PS PČR	Dobšice	546941	7	7	A	204	0	N	0	22	M	2004	7
4	25	Václav	Svoboda			55	CZ	poradce premiéra	České Budějovice	544256	7	7	A	435	0	N	0	23	M	2004	7
4	26	Miloš	Titz	Doc. Ing.	CSc.	65	CZ	vysokoškolský učitel	Pardubice	555134	7	7	A	556	0	N	0	24	M	2004	7
4	27	Jiří	Schüller	Mgr.		30	CZ	vysokoškolský učitel, advokát	Potěhy	534331	7	7	A	347	0	N	0	25	M	2004	7
4	28	Pavel	Němec	Mgr.		27	CZ	právník	Mohelnice	540471	7	7	A	680	0	N	0	26	M	2004	7
4	29	Jan	Zlínský	JUDr.		55	CZ	advokát	Zlín	585068	7	7	A	585	0	N	0	27	M	2004	7
4	30	Jiří	Frank	Ing.	CSc.	63	CZ	akademický pracovník	Hradec Králové	569810	7	7	A	137	0	N	0	28	M	2004	7
4	31	Věra	Jourová	Mgr.		39	CZ	úřednice	Jihlava	586846	7	7	A	338	0	N	0	29	F	2004	7
4	32	Ivana	Tomková			52	CZ	personalistka	Kramolna	574546	7	7	A	204	0	N	0	30	F	2004	7
5	1	Petra	Edelmannová	Mgr.		29	CZ	bankovní analytik	Františkovy Lázně	554529	152	152	A	357	0	N	0	0	F	2004	310
5	2	Viktor	Trkal	RNDr.	CSc.	75	CZ	vědecký pracovník	Praha	1	2	2	A	244	0	N	0	0	M	2004	310
5	3	Zbyněk	Holub	PaedDr.	PhDr.	47	CZ	VŠ pedagog	Zliv	545341	2	2	A	249	0	N	0	0	M	2004	310
5	4	Martin	Votava	MUDr.	PhD.	31	CZ	VŠ pedagog	Praha	1	99	2	A	137	0	N	0	0	M	2004	310
5	5	Jaroslav	Skopal	Ing.		67	CZ	podnikatel	Přerov	511382	2	2	A	66	0	N	0	0	M	2004	310
5	6	Jaroslav	Malý	Ing.		41	CZ	komunitní poradce	Olomouc	500496	99	152	A	50	0	N	0	0	M	2004	310
5	7	Jaroslava	Danišová	Ing.		58	CZ	podnikatel	Ústí nad Labem	554804	2	2	A	41	0	N	0	0	F	2004	310
5	8	Dita	Holcmannová	Ing.		28	CZ	ekonomka	Chrudim	571164	99	152	A	80	0	N	0	0	F	2004	310
